Date,Time,TimeStamp,Temp_unit,Temp
1/22/2023,10:27:00,PM,C,19
1/22/2023,11:27:00,PM,C,18
1/23/2023,12:27:00,AM,C,17
1/23/2023,1:27:00,AM,C,16
1/23/2023,2:27:00,AM,C,15
1/23/2023,3:27:00,AM,C,14
1/23/2023,4:27:00,AM,C,13.5
1/23/2023,5:27:00,AM,C,12.5
1/23/2023,6:27:00,AM,C,9.5
1/23/2023,7:27:00,AM,C,8.5
1/23/2023,8:27:00,AM,C,7
1/23/2023,9:27:00,AM,C,-7.5
1/23/2023,10:27:00,AM,C,-10.5
1/23/2023,11:27:00,AM,C,-10.5
1/23/2023,12:27:00,PM,C,-10.5
1/23/2023,1:27:00,PM,C,-10.5
1/23/2023,2:27:00,PM,C,-10
1/23/2023,3:27:00,PM,C,-9.5
1/23/2023,4:27:00,PM,C,-9
1/23/2023,5:27:00,PM,C,-8.5
1/23/2023,6:27:00,PM,C,-8
1/23/2023,7:27:00,PM,C,-7.5
1/23/2023,8:27:00,PM,C,-7
1/23/2023,9:27:00,PM,C,-7
1/23/2023,10:27:00,PM,C,-7
1/23/2023,11:27:00,PM,C,-7
1/24/2023,12:27:00,AM,C,-7
1/24/2023,1:27:00,AM,C,-7
1/24/2023,2:27:00,AM,C,-6.5
1/24/2023,3:27:00,AM,C,-7
1/24/2023,4:27:00,AM,C,-7
1/24/2023,5:27:00,AM,C,-7
1/24/2023,6:27:00,AM,C,-7
1/24/2023,7:27:00,AM,C,-7
1/24/2023,8:27:00,AM,C,-7
1/24/2023,9:27:00,AM,C,-7
1/24/2023,10:27:00,AM,C,-7
1/24/2023,11:27:00,AM,C,-6.5
1/24/2023,12:27:00,PM,C,-6.5
1/24/2023,1:27:00,PM,C,-6
1/24/2023,2:27:00,PM,C,-5.5
1/24/2023,3:27:00,PM,C,-5
1/24/2023,4:27:00,PM,C,-4.5
1/24/2023,5:27:00,PM,C,-4.5
1/24/2023,6:27:00,PM,C,-4.5
1/24/2023,7:27:00,PM,C,-4.5
1/24/2023,8:27:00,PM,C,-4.5
1/24/2023,9:27:00,PM,C,-5
1/24/2023,10:27:00,PM,C,-5
1/24/2023,11:27:00,PM,C,-5.5
1/25/2023,12:27:00,AM,C,-6
1/25/2023,1:27:00,AM,C,-6
1/25/2023,2:27:00,AM,C,-6
1/25/2023,3:27:00,AM,C,-6.5
1/25/2023,4:27:00,AM,C,-6.5
1/25/2023,5:27:00,AM,C,-6
1/25/2023,6:27:00,AM,C,-5.5
1/25/2023,7:27:00,AM,C,-5.5
1/25/2023,8:27:00,AM,C,-5.5
1/25/2023,9:27:00,AM,C,-5
1/25/2023,10:27:00,AM,C,-5
1/25/2023,11:27:00,AM,C,-5
1/25/2023,12:27:00,PM,C,-4
1/25/2023,1:27:00,PM,C,-4
1/25/2023,2:27:00,PM,C,-3.5
1/25/2023,3:27:00,PM,C,-3.5
1/25/2023,4:27:00,PM,C,-3.5
1/25/2023,5:27:00,PM,C,-3
1/25/2023,6:27:00,PM,C,-3
1/25/2023,7:27:00,PM,C,-2.5
1/25/2023,8:27:00,PM,C,-2.5
1/25/2023,9:27:00,PM,C,-2.5
1/25/2023,10:27:00,PM,C,-3
1/25/2023,11:27:00,PM,C,-3
1/26/2023,12:27:00,AM,C,-3
1/26/2023,1:27:00,AM,C,-3
1/26/2023,2:27:00,AM,C,-3
1/26/2023,3:27:00,AM,C,-3
1/26/2023,4:27:00,AM,C,-3
1/26/2023,5:27:00,AM,C,-3
1/26/2023,6:27:00,AM,C,-3
1/26/2023,7:27:00,AM,C,-3
1/26/2023,8:27:00,AM,C,-3
1/26/2023,9:27:00,AM,C,-3.5
1/26/2023,10:27:00,AM,C,-3.5
1/26/2023,11:27:00,AM,C,-4
1/26/2023,12:27:00,PM,C,-4.5
1/26/2023,1:27:00,PM,C,-4.5
1/26/2023,2:27:00,PM,C,-4.5
1/26/2023,3:27:00,PM,C,-4.5
1/26/2023,4:27:00,PM,C,-4
1/26/2023,5:27:00,PM,C,-4
1/26/2023,6:27:00,PM,C,-4
1/26/2023,7:27:00,PM,C,-4
1/26/2023,8:27:00,PM,C,-4.5
1/26/2023,9:27:00,PM,C,-4.5
1/26/2023,10:27:00,PM,C,-5
1/26/2023,11:27:00,PM,C,-5
1/27/2023,12:27:00,AM,C,-5.5
1/27/2023,1:27:00,AM,C,-6
1/27/2023,2:27:00,AM,C,-6.5
1/27/2023,3:27:00,AM,C,-6.5
1/27/2023,4:27:00,AM,C,-7
1/27/2023,5:27:00,AM,C,-7.5
1/27/2023,6:27:00,AM,C,-8
1/27/2023,7:27:00,AM,C,-8.5
1/27/2023,8:27:00,AM,C,-8.5
1/27/2023,9:27:00,AM,C,-8.5
1/27/2023,10:27:00,AM,C,-8.5
1/27/2023,11:27:00,AM,C,-8.5
1/27/2023,12:27:00,PM,C,-8.5
1/27/2023,1:27:00,PM,C,-8.5
1/27/2023,2:27:00,PM,C,-8
1/27/2023,3:27:00,PM,C,-7.5
1/27/2023,4:27:00,PM,C,-7.5
1/27/2023,5:27:00,PM,C,-7
1/27/2023,6:27:00,PM,C,-7
1/27/2023,7:27:00,PM,C,-7.5
1/27/2023,8:27:00,PM,C,-7.5
1/27/2023,9:27:00,PM,C,-8
1/27/2023,10:27:00,PM,C,-8.5
1/27/2023,11:27:00,PM,C,-9.5
1/28/2023,12:27:00,AM,C,-10
1/28/2023,1:27:00,AM,C,-10.5
1/28/2023,2:27:00,AM,C,-11
1/28/2023,3:27:00,AM,C,-11.5
1/28/2023,4:27:00,AM,C,-12
1/28/2023,5:27:00,AM,C,-12.5
1/28/2023,6:27:00,AM,C,-13
1/28/2023,7:27:00,AM,C,-13
1/28/2023,8:27:00,AM,C,-13
1/28/2023,9:27:00,AM,C,-12.5
1/28/2023,10:27:00,AM,C,-12.5
1/28/2023,11:27:00,AM,C,-12.5
1/28/2023,12:27:00,PM,C,-11.5
1/28/2023,1:27:00,PM,C,-11.5
1/28/2023,2:27:00,PM,C,-11
1/28/2023,3:27:00,PM,C,-11
1/28/2023,4:27:00,PM,C,-10
1/28/2023,5:27:00,PM,C,-10
1/28/2023,6:27:00,PM,C,-9.5
1/28/2023,7:27:00,PM,C,-9.5
1/28/2023,8:27:00,PM,C,-9.5
1/28/2023,9:27:00,PM,C,-9
1/28/2023,10:27:00,PM,C,-9
1/28/2023,11:27:00,PM,C,-9
1/29/2023,12:27:00,AM,C,-9
1/29/2023,1:27:00,AM,C,-9
1/29/2023,2:27:00,AM,C,-8.5
1/29/2023,3:27:00,AM,C,-8.5
1/29/2023,4:27:00,AM,C,-9
1/29/2023,5:27:00,AM,C,-9
1/29/2023,6:27:00,AM,C,-9.5
1/29/2023,7:27:00,AM,C,-10
1/29/2023,8:27:00,AM,C,-10.5
1/29/2023,9:27:00,AM,C,-11
1/29/2023,10:27:00,AM,C,-11
1/29/2023,11:27:00,AM,C,-11.5
1/29/2023,12:27:00,PM,C,-11
1/29/2023,1:27:00,PM,C,-11
1/29/2023,2:27:00,PM,C,-11
1/29/2023,3:27:00,PM,C,-10.5
1/29/2023,4:27:00,PM,C,-10.5
1/29/2023,5:27:00,PM,C,-10
1/29/2023,6:27:00,PM,C,-10
1/29/2023,7:27:00,PM,C,-9.5
1/29/2023,8:27:00,PM,C,-9.5
1/29/2023,9:27:00,PM,C,-9.5
1/29/2023,10:27:00,PM,C,-9.5
1/29/2023,11:27:00,PM,C,-9
1/30/2023,12:27:00,AM,C,-9
1/30/2023,1:27:00,AM,C,-9
1/30/2023,2:27:00,AM,C,-9
1/30/2023,3:27:00,AM,C,-9
1/30/2023,4:27:00,AM,C,-9.5
1/30/2023,5:27:00,AM,C,-9.5
1/30/2023,6:27:00,AM,C,-9.5
1/30/2023,7:27:00,AM,C,-9.5
1/30/2023,8:27:00,AM,C,-9.5
1/30/2023,9:27:00,AM,C,-9
1/30/2023,10:27:00,AM,C,-9
1/30/2023,11:27:00,AM,C,-9
1/30/2023,12:27:00,PM,C,-9
1/30/2023,1:27:00,PM,C,-5
1/30/2023,2:27:00,PM,C,-5.5
1/30/2023,3:27:00,PM,C,-6
1/30/2023,4:27:00,PM,C,-5.5
1/30/2023,5:27:00,PM,C,-5.5
1/30/2023,6:27:00,PM,C,-5.5
1/30/2023,7:27:00,PM,C,-5.5
1/30/2023,8:27:00,PM,C,-5.5
1/30/2023,9:27:00,PM,C,-5.5
1/30/2023,10:27:00,PM,C,-5.5
1/30/2023,11:27:00,PM,C,-5.5
1/31/2023,12:27:00,AM,C,-5.5
1/31/2023,1:27:00,AM,C,-6
1/31/2023,2:27:00,AM,C,-6
1/31/2023,3:27:00,AM,C,-6
1/31/2023,4:27:00,AM,C,-6
1/31/2023,5:27:00,AM,C,-6
1/31/2023,6:27:00,AM,C,-6
1/31/2023,7:27:00,AM,C,-6
1/31/2023,8:27:00,AM,C,-6
1/31/2023,9:27:00,AM,C,-6
1/31/2023,10:27:00,AM,C,-6
1/31/2023,11:27:00,AM,C,-6
1/31/2023,12:27:00,PM,C,-5
1/31/2023,1:27:00,PM,C,-3.5
1/31/2023,2:27:00,PM,C,-4.5
1/31/2023,3:27:00,PM,C,-5
1/31/2023,4:27:00,PM,C,-5
1/31/2023,5:27:00,PM,C,-5
1/31/2023,6:27:00,PM,C,-5.5
1/31/2023,7:27:00,PM,C,-5.5
1/31/2023,8:27:00,PM,C,-5.5
1/31/2023,9:27:00,PM,C,-5.5
1/31/2023,10:27:00,PM,C,-5.5
1/31/2023,11:27:00,PM,C,-5.5
2/1/2023,12:27:00,AM,C,-6
2/1/2023,1:27:00,AM,C,-6
2/1/2023,2:27:00,AM,C,-6
2/1/2023,3:27:00,AM,C,-6
2/1/2023,4:27:00,AM,C,-6
2/1/2023,5:27:00,AM,C,-6
2/1/2023,6:27:00,AM,C,-6
2/1/2023,7:27:00,AM,C,-6.5
2/1/2023,8:27:00,AM,C,-6.5
2/1/2023,9:27:00,AM,C,-6.5
2/1/2023,10:27:00,AM,C,-6.5
2/1/2023,11:27:00,AM,C,-6.5
2/1/2023,12:27:00,PM,C,-6.5
2/1/2023,1:27:00,PM,C,-6
2/1/2023,2:27:00,PM,C,-6
2/1/2023,3:27:00,PM,C,-6.5
2/1/2023,4:27:00,PM,C,-6.5
2/1/2023,5:27:00,PM,C,-6.5
2/1/2023,6:27:00,PM,C,-6.5
2/1/2023,7:27:00,PM,C,-6.5
2/1/2023,8:27:00,PM,C,-6.5
2/1/2023,9:27:00,PM,C,-7
2/1/2023,10:27:00,PM,C,-7
2/1/2023,11:27:00,PM,C,-7
2/2/2023,12:27:00,AM,C,-7.5
2/2/2023,1:27:00,AM,C,-8
2/2/2023,2:27:00,AM,C,-8
2/2/2023,3:27:00,AM,C,-8.5
2/2/2023,4:27:00,AM,C,-8.5
2/2/2023,5:27:00,AM,C,-9
2/2/2023,6:27:00,AM,C,-9.5
2/2/2023,7:27:00,AM,C,-10
2/2/2023,8:27:00,AM,C,-10.5
2/2/2023,9:27:00,AM,C,-10.5
2/2/2023,10:27:00,AM,C,-11
2/2/2023,11:27:00,AM,C,-11.5
2/2/2023,12:27:00,PM,C,-12
2/2/2023,1:27:00,PM,C,-11.5
2/2/2023,2:27:00,PM,C,-9
2/2/2023,3:27:00,PM,C,-9.5
2/2/2023,4:27:00,PM,C,-9.5
2/2/2023,5:27:00,PM,C,-9.5
2/2/2023,6:27:00,PM,C,-9.5
2/2/2023,7:27:00,PM,C,-9.5
2/2/2023,8:27:00,PM,C,-10
2/2/2023,9:27:00,PM,C,-10
2/2/2023,10:27:00,PM,C,-10.5
2/2/2023,11:27:00,PM,C,-10.5
2/3/2023,12:27:00,AM,C,-11
2/3/2023,1:27:00,AM,C,-11
2/3/2023,2:27:00,AM,C,-11
2/3/2023,3:27:00,AM,C,-11
2/3/2023,4:27:00,AM,C,-11.5
2/3/2023,5:27:00,AM,C,-12
2/3/2023,6:27:00,AM,C,-12.5
2/3/2023,7:27:00,AM,C,-13
2/3/2023,8:27:00,AM,C,-13.5
2/3/2023,9:27:00,AM,C,-14
2/3/2023,10:27:00,AM,C,-14.5
2/3/2023,11:27:00,AM,C,-15
2/3/2023,12:27:00,PM,C,-14.5
2/3/2023,1:27:00,PM,C,-9
2/3/2023,2:27:00,PM,C,-11.5
2/3/2023,3:27:00,PM,C,-11.5
2/3/2023,4:27:00,PM,C,-11.5
2/3/2023,5:27:00,PM,C,-11.5
2/3/2023,6:27:00,PM,C,-11.5
2/3/2023,7:27:00,PM,C,-11.5
2/3/2023,8:27:00,PM,C,-12
2/3/2023,9:27:00,PM,C,-12
2/3/2023,10:27:00,PM,C,-12.5
2/3/2023,11:27:00,PM,C,-13
2/4/2023,12:27:00,AM,C,-13
2/4/2023,1:27:00,AM,C,-13.5
2/4/2023,2:27:00,AM,C,-13.5
2/4/2023,3:27:00,AM,C,-13.5
2/4/2023,4:27:00,AM,C,-14
2/4/2023,5:27:00,AM,C,-14
2/4/2023,6:27:00,AM,C,-14.5
2/4/2023,7:27:00,AM,C,-14.5
2/4/2023,8:27:00,AM,C,-14.5
2/4/2023,9:27:00,AM,C,-14.5
2/4/2023,10:27:00,AM,C,-14.5
2/4/2023,11:27:00,AM,C,-14
2/4/2023,12:27:00,PM,C,-9
2/4/2023,1:27:00,PM,C,-11.5
2/4/2023,2:27:00,PM,C,-11.5
2/4/2023,3:27:00,PM,C,-11.5
2/4/2023,4:27:00,PM,C,-11.5
2/4/2023,5:27:00,PM,C,-11
2/4/2023,6:27:00,PM,C,-11
2/4/2023,7:27:00,PM,C,-11
2/4/2023,8:27:00,PM,C,-11
2/4/2023,9:27:00,PM,C,-11
2/4/2023,10:27:00,PM,C,-11
2/4/2023,11:27:00,PM,C,-11
2/5/2023,12:27:00,AM,C,-11.5
2/5/2023,1:27:00,AM,C,-11.5
2/5/2023,2:27:00,AM,C,-11.5
2/5/2023,3:27:00,AM,C,-12
2/5/2023,4:27:00,AM,C,-12.5
2/5/2023,5:27:00,AM,C,-12.5
2/5/2023,6:27:00,AM,C,-13
2/5/2023,7:27:00,AM,C,-13.5
2/5/2023,8:27:00,AM,C,-13.5
2/5/2023,9:27:00,AM,C,-13.5
2/5/2023,10:27:00,AM,C,-14
2/5/2023,11:27:00,AM,C,-14.5
2/5/2023,12:27:00,PM,C,-14
2/5/2023,1:27:00,PM,C,-11
2/5/2023,2:27:00,PM,C,-12
2/5/2023,3:27:00,PM,C,-11.5
2/5/2023,4:27:00,PM,C,-11
2/5/2023,5:27:00,PM,C,-10.5
2/5/2023,6:27:00,PM,C,-10
2/5/2023,7:27:00,PM,C,-10
2/5/2023,8:27:00,PM,C,-10
2/5/2023,9:27:00,PM,C,-9.5
2/5/2023,10:27:00,PM,C,-9.5
2/5/2023,11:27:00,PM,C,-9.5
2/6/2023,12:27:00,AM,C,-9.5
2/6/2023,1:27:00,AM,C,-9.5
2/6/2023,2:27:00,AM,C,-9.5
2/6/2023,3:27:00,AM,C,-10
2/6/2023,4:27:00,AM,C,-10
2/6/2023,5:27:00,AM,C,-10
2/6/2023,6:27:00,AM,C,-10.5
2/6/2023,7:27:00,AM,C,-10.5
2/6/2023,8:27:00,AM,C,-11
2/6/2023,9:27:00,AM,C,-11
2/6/2023,10:27:00,AM,C,-11.5
2/6/2023,11:27:00,AM,C,-11.5
2/6/2023,12:27:00,PM,C,-5.5
2/6/2023,1:27:00,PM,C,-6.5
2/6/2023,2:27:00,PM,C,-7.5
2/6/2023,3:27:00,PM,C,-7
2/6/2023,4:27:00,PM,C,-6.5
2/6/2023,5:27:00,PM,C,-5.5
2/6/2023,6:27:00,PM,C,-5.5
2/6/2023,7:27:00,PM,C,-5.5
2/6/2023,8:27:00,PM,C,-5.5
2/6/2023,9:27:00,PM,C,-6
2/6/2023,10:27:00,PM,C,-6.5
2/6/2023,11:27:00,PM,C,-7
2/7/2023,12:27:00,AM,C,-8
2/7/2023,1:27:00,AM,C,-8.5
2/7/2023,2:27:00,AM,C,-9
2/7/2023,3:27:00,AM,C,-9
2/7/2023,4:27:00,AM,C,-9.5
2/7/2023,5:27:00,AM,C,-9.5
2/7/2023,6:27:00,AM,C,-9.5
2/7/2023,7:27:00,AM,C,-9.5
2/7/2023,8:27:00,AM,C,-9.5
2/7/2023,9:27:00,AM,C,-9.5
2/7/2023,10:27:00,AM,C,-9.5
2/7/2023,11:27:00,AM,C,-9
2/7/2023,12:27:00,PM,C,-8.5
2/7/2023,1:27:00,PM,C,-2.5
2/7/2023,2:27:00,PM,C,-4.5
2/7/2023,3:27:00,PM,C,-5.5
2/7/2023,4:27:00,PM,C,-5.5
2/7/2023,5:27:00,PM,C,-5.5
2/7/2023,6:27:00,PM,C,-5.5
2/7/2023,7:27:00,PM,C,-5.5
2/7/2023,8:27:00,PM,C,-5.5
2/7/2023,9:27:00,PM,C,-6
2/7/2023,10:27:00,PM,C,-6
2/7/2023,11:27:00,PM,C,-6.5
2/8/2023,12:27:00,AM,C,-7
2/8/2023,1:27:00,AM,C,-7.5
2/8/2023,2:27:00,AM,C,-8
2/8/2023,3:27:00,AM,C,-8.5
2/8/2023,4:27:00,AM,C,-9
2/8/2023,5:27:00,AM,C,-9.5
2/8/2023,6:27:00,AM,C,-10
2/8/2023,7:27:00,AM,C,-10.5
2/8/2023,8:27:00,AM,C,-10.5
2/8/2023,9:27:00,AM,C,-11
2/8/2023,10:27:00,AM,C,-11
2/8/2023,11:27:00,AM,C,-7.5
2/8/2023,12:27:00,PM,C,-7.5
2/8/2023,1:27:00,PM,C,-8.5
2/8/2023,2:27:00,PM,C,-8.5
2/8/2023,3:27:00,PM,C,-8
2/8/2023,4:27:00,PM,C,-7.5
2/8/2023,5:27:00,PM,C,-6.5
2/8/2023,6:27:00,PM,C,-6.5
